id,name,lat,lon,cuisine_type,halal_cert,price_range,has_prayer_room,address,phone,hours,notes,source,verified_date
HLR_BKK_200,Hana Buffet Halal,13.7845227,100.6741556,,Unverified,,,Hana Buffet Halal,,,,Google My Maps Export,
HLR_BKK_201,ครัวคุงนู๋ ไข่ม้วน Halal,13.7528758,100.6776843,,Unverified,,,ครัวคุงนู๋ ไข่ม้วน Halal,,,,Google My Maps Export,
HLR_BKK_202,เพชรมุสลิม ปลาเผาเกลือระเบิดอีสานฮาลาล,13.7497474,100.6715273,,Unverified,,,เพชรมุสลิม ปลาเผาเกลือระเบิดอีสานฮาลาล,,,,Google My Maps Export,
HLR_BKK_203,Dongmullek Beef Noodles (Halal),13.7476609,100.6583858,,Unverified,,,Dongmullek Beef Noodles (Halal),,,,Google My Maps Export,
HLR_BKK_204,ครัวมุสลิม ลำสาลี,13.7486909,100.6510364,,Unverified,,,ครัวมุสลิม ลำสาลี,,,,Google My Maps Export,
HLR_BKK_205,L'Amour Halal Food,13.7517773,100.6523777,,Unverified,,,L'Amour Halal Food,,,,Google My Maps Export,
HLR_BKK_206,ร้านชารีฟ อาหารอิสลาม,13.8815594,100.5655159,,Unverified,,,ร้านชารีฟ อาหารอิสลาม,,,,Google My Maps Export,
HLR_BKK_207,Fil Fil,13.744354,100.5511436,,Unverified,,,Fil Fil,,,,Google My Maps Export,
HLR_BKK_208,ฺBangkok Halal Kitchens,13.742399,100.5860501,,Unverified,,,ฺBangkok Halal Kitchens,,,,Google My Maps Export,
HLR_BKK_209,อาหารอิสลาม Halal,13.724462,100.5496653,,Unverified,,,อาหารอิสลาม Halal,,,,Google My Maps Export,
HLR_BKK_210,ร้านอาหารอิสลาม,13.7117607,100.5240511,,Unverified,,,ร้านอาหารอิสลาม,,,,Google My Maps Export,
HLR_BKK_211,อาหารอิสลาม Halal,13.7495022,100.5277338,,Unverified,,,อาหารอิสลาม Halal,,,,Google My Maps Export,
HLR_BKK_212,ร้านอาหารอิสลามมาเรียม,13.76872,100.5669609,,Unverified,,,ร้านอาหารอิสลามมาเรียม,,,,Google My Maps Export,
HLR_BKK_213,ร้านข้าวหมกไก่ทอด คมเดช หาดใหญ่ (อิสลาม),13.7413808,100.5626464,,Unverified,,,ร้านข้าวหมกไก่ทอด คมเดช หาดใหญ่ (อิสลาม),,,,Google My Maps Export,
HLR_BKK_214,ก๋วยเตี๋ยวเนื้อตุ๋น อ.อิสลาม,13.7444059,100.5624744,,Unverified,,,ก๋วยเตี๋ยวเนื้อตุ๋น อ.อิสลาม,,,,Google My Maps Export,
HLR_BKK_215,Ikrom Halal Foods,13.7353698,100.6249347,,Unverified,,,Ikrom Halal Foods,,,,Google My Maps Export,
